others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,60,16200000,4/10/2018,7525.3496,34418,9608,5774684,1.52E+12,fGc8wlXwq5,5809102,160,com.sec.android.app.shealth,31:56.9,1040996,6123cdf4-e4be-4cdf-9aa2-05718398640c,6123cdf4-e4be-4cdf-9aa2-05718398640c.extra_data.json,425.35193
0,60,21840000,4/9/2018,5526.0522,62360,6930,4369800,1.52E+12,fGc8wlXwq5,4432160,121,com.sec.android.app.shealth,40:05.5,240000,3fffa68a-35e3-4c4b-8849-3647d20f603d,3fffa68a-35e3-4c4b-8849-3647d20f603d.extra_data.json,302.48
0,60,29340000,4/8/2018,4834.009,20242,6278,4004896,1.52E+12,fGc8wlXwq5,4025138,110,com.sec.android.app.shealth,00:02.0,240000,409bfa36-c5e4-48cb-affe-e793145afb69,409bfa36-c5e4-48cb-affe-e793145afb69.extra_data.json,270.19992
0,60,16500000,4/7/2018,5522.591,73855,6762,4111084,1.52E+12,fGc8wlXwq5,4184939,115,com.sec.android.app.shealth,55:00.4,300000,2e038479-d401-4048-92af-68e39cb444a6,2e038479-d401-4048-92af-68e39cb444a6.extra_data.json,290.69003
0,60,14100000,4/6/2018,6477.5586,36966,8244,5011876,1.52E+12,fGc8wlXwq5,5048842,138,com.sec.android.app.shealth,15:23.5,1215946,2b0d3599-6282-4a7c-a433-9671d7b8b2e1,2b0d3599-6282-4a7c-a433-9671d7b8b2e1.extra_data.json,351.35
0,60,17040000,4/5/2018,8111.1235,52124,10237,6218940,1.52E+12,fGc8wlXwq5,6271064,171,com.sec.android.app.shealth,00:02.0,1176170,9ed66673-adbd-4ee7-8926-d03fceb21afd,9ed66673-adbd-4ee7-8926-d03fceb21afd.extra_data.json,437.93613
0,60,15300000,4/4/2018,2833.0403,33589,3572,2293244,1.52E+12,fGc8wlXwq5,2326833,63,com.sec.android.app.shealth,22:57.1,60000,2b776b17-6491-4782-b28e-719158649dc6,2b776b17-6491-4782-b28e-719158649dc6.extra_data.json,152.28
0,60,17640000,4/3/2018,1606.1503,14000,2071,1312446,1.52E+12,fGc8wlXwq5,1326446,35,com.sec.android.app.shealth,35:26.5,180000,96c2fe20-2ea0-42f1-8454-162ed98302e9,96c2fe20-2ea0-42f1-8454-162ed98302e9.extra_data.json,89.19001
0,60,23460000,4/2/2018,6851.0527,13200,8664,5504559,1.52E+12,fGc8wlXwq5,5517759,151,com.sec.android.app.shealth,52:38.4,663677,16bd1ecf-b864-4dba-a469-05ec13631a8f,16bd1ecf-b864-4dba-a469-05ec13631a8f.extra_data.json,360.84198
0,60,19680000,4/1/2018,6656.739,218976,8154,4707009,1.52E+12,fGc8wlXwq5,4925985,135,com.sec.android.app.shealth,32:45.5,300000,97603861-a721-4c59-9c6b-000e8fd036ba,97603861-a721-4c59-9c6b-000e8fd036ba.extra_data.json,371.91003
0,60,24840000,3/31/2018,6459.7407,155831,7720,4722720,1.52E+12,fGc8wlXwq5,4878551,133,com.sec.android.app.shealth,15:01.7,240000,26273f3a-c2dc-4a41-8938-371e378d1b87,26273f3a-c2dc-4a41-8938-371e378d1b87.extra_data.json,351.94992
0,60,22140000,3/30/2018,6852.865,36353,8665,5322896,1.52E+12,fGc8wlXwq5,5359249,146,com.sec.android.app.shealth,24:01.4,785827,f35f9feb-cd3d-42a1-8dd7-e0b53bede3bc,f35f9feb-cd3d-42a1-8dd7-e0b53bede3bc.extra_data.json,377.0999
0,60,12600000,3/29/2018,3396.57,12152,4255,2732929,1.52E+12,fGc8wlXwq5,2745081,75,com.sec.android.app.shealth,45:51.5,540000,eb9292b2-0dd3-44d0-a997-93dda519331a,eb9292b2-0dd3-44d0-a997-93dda519331a.extra_data.json,179.02995
0,60,19560000,3/28/2018,2955.5303,62456,3622,2211582,1.52E+12,fGc8wlXwq5,2274038,61,com.sec.android.app.shealth,00:01.9,180000,04db5fda-341c-4ead-b921-ee6dfbeaa1f6,04db5fda-341c-4ead-b921-ee6dfbeaa1f6.extra_data.json,157.94998
0,60,29400000,3/27/2018,8272.934,40449,10549,6411237,1.52E+12,fGc8wlXwq5,6451686,176,com.sec.android.app.shealth,00:01.2,1106424,1a4b102c-09af-436f-9407-71dc1749b92e,1a4b102c-09af-436f-9407-71dc1749b92e.extra_data.json,451.19028
0,60,26340000,3/26/2018,3028.2803,13952,3905,2473118,1.52E+12,fGc8wlXwq5,2487070,68,com.sec.android.app.shealth,43:08.0,240000,bb04a5d1-facc-4d39-83b1-1ba814060ec4,bb04a5d1-facc-4d39-83b1-1ba814060ec4.extra_data.json,164.14998
0,60,30480000,3/25/2018,4615.2017,72334,4613,2823065,1.52E+12,0LIZOsdmeN,2895399,80,com.sec.android.app.shealth,38:22.7,420000,5bba5bf8-a22c-4469-9e39-1f6bff692cdd,5bba5bf8-a22c-4469-9e39-1f6bff692cdd.extra_data.json,286.9799
0,60,20520000,3/24/2018,7083.6113,26980,9066,5676144,1.52E+12,0LIZOsdmeN,5703124,156,com.sec.android.app.shealth,29:25.5,840000,12a53d57-c559-4d6e-b700-ca0b8c3f2cb2,12a53d57-c559-4d6e-b700-ca0b8c3f2cb2.extra_data.json,380.56345
0,60,28140000,3/23/2018,5480.0547,13801,7113,4466586,1.52E+12,0LIZOsdmeN,4480387,123,com.sec.android.app.shealth,19:55.9,360000,4e7a27d5-130f-4d47-94ff-2408d68759b8,4e7a27d5-130f-4d47-94ff-2408d68759b8.extra_data.json,306.56677
0,60,19800000,3/22/2018,4646.27,48826,5914,3723999,1.52E+12,0LIZOsdmeN,3772825,103,com.sec.android.app.shealth,30:41.1,180000,8b4e7901-6616-43ef-b4b4-bb88fc1f87d6,8b4e7901-6616-43ef-b4b4-bb88fc1f87d6.extra_data.json,253.09003
0,60,27840000,3/21/2018,2875.8896,5200,3708,2432369,1.52E+12,0LIZOsdmeN,2437569,66,com.sec.android.app.shealth,07:48.7,180000,5e1689f6-6163-449b-afc9-7e5c08d5e09b,5e1689f6-6163-449b-afc9-7e5c08d5e09b.extra_data.json,155.57
0,60,23760000,3/20/2018,5671.903,16364,7290,4393750,1.52E+12,0LIZOsdmeN,4410114,121,com.sec.android.app.shealth,37:28.0,949761,04514def-044a-4022-98d6-fad84067a334,04514def-044a-4022-98d6-fad84067a334.extra_data.json,314.51132
0,60,28860000,3/19/2018,5339.482,34481,6911,4342203,1.52E+12,0LIZOsdmeN,4376684,120,com.sec.android.app.shealth,49:02.6,240000,3850d4b4-c720-47c6-8c5e-97153b432fd7,3850d4b4-c720-47c6-8c5e-97153b432fd7.extra_data.json,292.89
0,60,29820000,3/18/2018,1392.4402,7200,1726,1139236,1.52E+12,0LIZOsdmeN,1146436,30,com.sec.android.app.shealth,15:14.3,60000,720e91ae-f511-4a43-ba15-fafab1d8eaeb,720e91ae-f511-4a43-ba15-fafab1d8eaeb.extra_data.json,73.2
0,60,25440000,3/17/2018,9170.641,132075,10740,6466192,1.52E+12,0LIZOsdmeN,6598267,181,com.sec.android.app.shealth,37:27.1,360000,bb307014-5080-4f5a-8fc8-c79050c47671,bb307014-5080-4f5a-8fc8-c79050c47671.extra_data.json,499.72986
0,60,25380000,3/16/2018,4331.3906,12400,5445,3453973,1.52E+12,0LIZOsdmeN,3466373,95,com.sec.android.app.shealth,57:01.4,360000,576e7207-5449-4ce1-83bd-74211f667f1a,576e7207-5449-4ce1-83bd-74211f667f1a.extra_data.json,226.92009
0,60,26760000,3/15/2018,4486.6206,30014,5765,3634479,1.52E+12,0LIZOsdmeN,3664493,100,com.sec.android.app.shealth,55:35.2,300000,e203ea28-079b-4b08-b338-7203b4ab79b3,e203ea28-079b-4b08-b338-7203b4ab79b3.extra_data.json,245.85995
0,60,23460000,3/14/2018,4417.62,18800,5167,3355984,1.52E+12,0LIZOsdmeN,3374784,91,com.sec.android.app.shealth,33:43.4,180000,27d502e8-521b-4654-ba2a-65779580d72c,27d502e8-521b-4654-ba2a-65779580d72c.extra_data.json,264.93
0,60,26100000,3/13/2018,2109.27,11581,2628,1708620,1.52E+12,0LIZOsdmeN,1720201,46,com.sec.android.app.shealth,15:35.9,180000,8cb61c39-4456-4d98-b88c-ae04396c1a1c,8cb61c39-4456-4d98-b88c-ae04396c1a1c.extra_data.json,113.97001
0,60,28260000,3/12/2018,4206.73,5600,5457,3547413,1.52E+12,0LIZOsdmeN,3553013,98,com.sec.android.app.shealth,02:16.1,180000,47b05a80-a9dc-44bd-b7ae-3d836c14afd7,47b05a80-a9dc-44bd-b7ae-3d836c14afd7.extra_data.json,225.88007
0,60,34440000,3/11/2018,2655.8704,12350,3428,2181215,1.52E+12,0LIZOsdmeN,2193565,60,com.sec.android.app.shealth,51:52.1,240000,7ee79846-18dc-45bb-85cc-fdbb489cdd5e,7ee79846-18dc-45bb-85cc-fdbb489cdd5e.extra_data.json,143.38004
0,60,28260000,3/10/2018,8565.112,86078,10933,6773559,1.52E+12,0LIZOsdmeN,6859637,188,com.sec.android.app.shealth,15:00.9,706841,4aba58e8-5a78-4568-b566-072bab939de5,4aba58e8-5a78-4568-b566-072bab939de5.extra_data.json,459.21002
0,60,30240000,3/9/2018,5257.2163,16144,6953,4411298,1.52E+12,0LIZOsdmeN,4427442,121,com.sec.android.app.shealth,39:21.8,1298617,24e0baa2-d547-4543-8d90-277d976d1891,24e0baa2-d547-4543-8d90-277d976d1891.extra_data.json,301.83133
0,60,23820000,3/8/2018,3984.32,14800,4925,3212579,1.52E+12,0LIZOsdmeN,3227379,88,com.sec.android.app.shealth,35:08.8,240000,150f3451-dd82-4002-8b79-42d40bc985d7,150f3451-dd82-4002-8b79-42d40bc985d7.extra_data.json,217.65999
0,60,24780000,3/7/2018,4361.8496,11112,5687,3637960,1.52E+12,0LIZOsdmeN,3649072,100,com.sec.android.app.shealth,14:41.8,240000,61844f78-235e-44c0-bf77-d8c8b8fe373f,61844f78-235e-44c0-bf77-d8c8b8fe373f.extra_data.json,245.33002
